"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_33130",142,87,91,118,110,113
"PITA_09463",520,539,220,41,474,275
"PITA_22794",0,0,0,3,3,0
"PITA_06039",142,112,77,83,76,115
"PITA_24267",34,11,12,0,15,25
"PITA_17603",0,0,0,0,0,0
"PITA_09148",0,0,0,0,0,0
"PITA_44473",180,87,85,110,54,117
"PITA_02190",26,13,13,6,12,13
"PITA_17095",0,0,0,0,0,0
"PITA_42066",0,14,0,4,18,7
"PITA_17710",0,0,0,0,0,0
"PITA_27890",202,256,139,142,143,245
"PITA_12659",2627,1502,1291,1378,1589,2047
"PITA_19764",47,38,84,81,45,192
"PITA_48049",148,54,75,49,39,99
"PITA_23692",0,222,153,242,0,155
"PITA_51057",188,162,107,111,104,218
"PITA_12984",30,4,7,9,18,4
"PITA_38246",9,9,5,6,14,11
"PITA_34840",119,31,73,313,187,22
"PITA_27065",108,120,113,114,64,89
"PITA_11945",1,2,13,1,10,1
"PITA_30224",0,13,57,0,57,21
"PITA_05551",0,0,0,0,0,0
"PITA_21468",2,0,2,0,0,1
"PITA_25455",1517,809,905,1156,992,1222
"PITA_43653",0,0,0,1,0,1
"PITA_47044",1923,1468,1226,1324,1168,1630
"PITA_14668",55,17,24,14,21,12
"PITA_26679",201,162,123,165,196,288
"PITA_21230",0,0,0,0,0,0
"PITA_13517",16929,10293,7851,9667,7777,14293
"PITA_26457",0,0,0,1,0,3
"PITA_44948",1068,779,560,904,754,1044
"PITA_12417",495,135,258,360,255,150
"PITA_14714",0,0,2,0,0,0
"PITA_21873",724,492,392,566,424,555
"PITA_35916",8,2,36,12,8,34
"PITA_09903",0,0,0,0,0,0
"PITA_09827",0,3,0,0,0,16
"PITA_22566",23,14,7,29,10,20
"PITA_47890",18,8,14,6,2,8
"PITA_18589",178,24,24,25,43,28
"PITA_15845",482,274,287,156,228,326
"PITA_20947",2,0,0,0,0,0
"PITA_29384",0,0,0,0,0,0
"PITA_10045",659,286,360,545,428,343
"PITA_22458",0,0,0,0,0,0
"PITA_44809",29,1,15,27,7,4
"PITA_46351",268,112,103,98,139,184
"PITA_30081",0,0,0,0,0,0
"PITA_11126",141,93,119,66,97,101
"PITA_12026",0,1,0,0,0,0
"PITA_03210",148,32,80,84,5,44
"PITA_31783",0,5,1,0,0,3
"PITA_05213",0,1,0,0,0,0
"PITA_31225",445,661,381,693,691,1607
"PITA_16380",0,0,0,0,0,1
"PITA_50508",1319,751,627,642,735,823
"PITA_22646",0,0,0,0,0,0
"PITA_50073",137,42,65,89,46,53
"PITA_29213",1966,2275,1301,1632,1809,3191
"PITA_37956",1,0,2,1,2,0
"PITA_12325",197,81,100,128,223,195
"PITA_35163",0,0,0,0,0,0
"PITA_28677",106,37,32,51,41,48
"PITA_09095",156,260,176,304,159,678
"PITA_22978",1,0,0,1,2,1
"PITA_16968",1901,1190,1443,1329,1248,1559
"PITA_39663",7,5,13,13,23,26
"PITA_18995",0,1,2,0,0,0
"PITA_05090",498,333,368,314,226,594
"PITA_43713",10485,10470,4877,8195,7474,17522
"PITA_16142",40,47,27,44,37,31
"PITA_30931",0,0,0,0,0,0
"PITA_02865",0,0,0,0,0,1
"PITA_17420",173,116,113,123,83,123
"PITA_10311",716,212,247,77,123,36
"PITA_40067",253,112,155,82,163,98
"PITA_42215",372,373,408,388,426,337
"PITA_08953",0,0,0,0,0,0
"PITA_37977",0,0,0,0,0,0
